sentence_id,avg_rating_original,avg_rating_simplified
1,1.6,1.8
2,4.0,3.2
3,1.8,2.0
4,4.0,2.0
5,3.6,1.6
6,2.6,1.8
7,3.0,2.0
8,3.0,2.0
9,3.4,2.2
10,2.2,1.8
11,3.5,1.5
12,3.4,2.0
13,4.0,2.8
14,2.2,2.4
15,2.75,3.75
16,2.6,1.4
17,3.2,2.8
18,2.6,1.6
19,2.8,1.4
20,3.6,3.0
21,4.2,3.6
22,4.0,2.25
23,1.8,1.0
24,4.0,2.4
25,3.4,2.4
26,3.4,2.4
27,2.2,1.2
28,2.8,2.8
29,2.6,1.6
30,2.8,2.0
31,3.6,2.4
32,3.0,1.0
33,3.8,2.0
34,2.8,1.8
35,3.8,2.6
36,3.0,1.8
37,4.6,3.4
38,2.6,1.4
39,2.75,2.0
40,3.0,1.6
41,2.8,2.4
42,2.0,1.0
43,3.2,3.0
44,2.2,2.6
45,3.75,2.5
46,2.8,1.6
47,3.0,2.0
48,2.2,2.2
49,3.6,2.0
50,2.4,1.6
51,1.4,2.2
52,2.0,1.8
53,2.8,2.0
54,2.6,2.0
55,2.4,1.8
56,2.2,1.4
57,4.4,2.6
58,3.0,2.6
59,1.0,1.4
60,2.4,1.4
61,3.0,2.4
62,2.8,2.4
63,2.8,2.8
64,3.0,2.2
65,3.0,1.75
66,2.2,2.2
67,2.8,2.0
68,1.3333333333333333,2.3333333333333335
69,3.4,2.4
70,4.4,2.8
71,3.0,2.4
72,4.6,3.6
73,2.6,1.4
74,2.0,2.0
75,3.6,1.6
76,3.4,1.6
77,2.4,2.4
78,3.4,1.4
79,3.25,2.0
80,1.2,1.0
81,2.6,1.8
82,2.8,1.8
83,2.3333333333333335,2.6666666666666665
84,3.4,2.8
85,2.4,1.2
86,3.5,1.25
87,3.2,2.6
88,3.4,2.4
89,3.6666666666666665,2.3333333333333335
90,4.0,3.0
91,2.6,1.4
92,3.4,1.4
93,3.4,2.4
94,4.0,2.0
95,1.8,1.0
96,2.2,2.2
97,2.4,2.4
98,3.6666666666666665,3.0
99,3.0,1.6
100,2.8,2.2
101,5.333333333333333,4.333333333333333
102,2.4,1.4
103,2.8,1.6
104,3.0,2.0
105,3.6,2.4
106,4.2,3.4
107,2.6,1.6
108,3.8,2.4
109,3.4,1.0
110,4.6,3.8
111,2.4,1.8
112,3.0,2.2
113,4.8,2.4
114,4.2,3.8
115,4.4,2.4
116,3.2,2.0
117,2.0,1.6
118,4.6,1.4
119,3.0,2.0
120,3.4,1.6
121,3.2,2.2
122,3.4,2.6
123,3.6,1.8
124,2.25,2.0
125,2.6,1.2
126,3.0,2.4
127,3.8,2.6
128,3.4,2.4
129,3.6,3.2
130,4.8,4.8
131,4.6,2.8
132,3.2,2.8
133,4.6,2.6
134,2.3333333333333335,1.0
135,3.0,1.6
136,4.4,2.6
137,2.4,1.0
138,3.0,2.2
139,3.4,3.0
140,3.2,2.4
141,1.0,1.2
142,2.6,2.4
143,2.8,2.0
144,2.8,3.4
145,3.0,2.3333333333333335
146,2.3333333333333335,2.0
147,2.8,1.6
148,3.6,2.6
149,2.8,2.0
150,2.6,2.6
151,3.6,2.4
152,2.0,1.2
153,2.0,2.2
154,3.0,1.6
155,2.0,1.4
156,4.2,1.6
157,2.8,2.6
158,1.8,1.2
159,1.6,1.4
160,3.5,3.0
161,3.2,2.2
162,2.8,2.0
163,3.0,2.2
164,4.333333333333333,3.3333333333333335
165,1.8,1.6
166,2.4,1.8
167,4.0,3.0
168,4.333333333333333,2.75
169,1.8,2.2
170,2.8,1.6
171,3.25,2.0
172,4.2,1.6
173,3.0,1.6
174,2.5,1.25
175,4.2,2.6
176,3.2,2.4
177,1.3333333333333333,1.1666666666666667
178,1.4,2.6
179,3.2,1.2
180,2.3333333333333335,2.1666666666666665
181,4.25,2.25
182,2.0,1.3333333333333333
183,2.0,1.2
184,3.0,1.4
185,2.6,1.0
186,2.4,1.8
187,1.75,2.0
188,2.4,1.6
189,5.0,2.8
190,2.75,1.5
191,2.6666666666666665,2.0
192,3.8,1.0
193,2.6,2.6
194,2.1666666666666665,1.3333333333333333
195,1.8,1.6
196,2.8,1.4
197,2.2,1.6
198,4.0,1.6
199,3.25,1.5
200,1.6,1.4
201,3.8,2.2
202,1.6,2.4
203,2.0,1.2
204,1.8,1.4
205,3.0,2.6
206,2.4,1.8
207,3.4,2.0
208,2.4,1.4
209,4.0,1.8
210,3.2,2.8
211,3.4,2.4
212,3.8,2.6
213,3.4,1.4
214,2.2,1.4
215,1.6666666666666667,1.3333333333333333
216,1.5,2.5
217,3.2,2.4
218,3.4,2.8
219,1.8,1.4
220,3.6,2.4
221,2.8,2.6
222,3.4,2.4
223,1.6,1.0
224,1.4,1.8
225,2.6,2.4
226,1.8,2.4
227,2.4,1.4
228,2.8,1.6
229,2.8333333333333335,1.6666666666666667
230,2.25,1.75
231,2.5,2.5
232,2.0,1.2
233,4.0,3.2
234,2.4,2.0
235,2.6,1.8
236,4.4,2.0
237,3.0,1.1666666666666667
238,2.6,1.4
239,1.6,2.0
240,2.2,1.4
241,3.2,1.8
242,1.8,2.0
243,3.2,2.0
244,1.4,1.2
245,1.8,1.8
246,3.8,2.0
247,1.4,1.4
248,2.5,2.0
249,2.6,2.0
250,2.2,2.0
